Nome;Atuacao
DAVIDSON MAGALHÃES;4/2/2015 até 7/7/2015, 9/7/2015 até 1/2/2016, 3/2/2016 até 25/7/2016, 1/1/2017 até 1/8/2017
DÉCIO LIMA;1/2/2015 ...
DEJORGE PATRÍCIO;2/1/2017 ...
DELEGADO ÉDER MAURO;1/2/2015 ...
DELEGADO EDSON MOREIRA;1/2/2015 ...
DELEGADO FRANCISCHINI;1/2/2015 até 3/2/2015, 21/5/2015 ...
DELEGADO WALDIR;1/2/2015 ...
DELEY;1/2/2015 até 10/12/2015, 5/1/2016 até 16/2/2016, 19/2/2016 ...
DEOCLIDES MACEDO;26/2/2015 até 9/4/2015, 26/4/2017 ...
DIEGO ANDRADE;1/2/2015 ...
DIEGO GARCIA;1/2/2015 ...
DILCEU SPERAFICO;1/2/2015 ...
DIMAS FABIANO;1/2/2015 ...
DOMINGOS NETO;1/2/2015 ...
DOMINGOS SÁVIO;1/2/2015 ...
DR. JORGE SILVA;1/2/2015 ...
DR. SINVAL MALHEIROS;1/2/2015 ...
DULCE MIRANDA;1/2/2015 ...
EDINHO BEZ;5/2/2015 até 25/2/2015, 3/3/2015 até 5/4/2016, 9/5/2016 até 31/1/2017, 7/2/2017 até 15/3/2017
EDIO LOPES;1/2/2015 ...
EDMAR ARRUDA;1/2/2015 até 17/3/2016, 16/7/2016 ...
EDMILSON RODRIGUES;1/2/2015 ...
EDUARDO BARBOSA;1/2/2015 ...
EDUARDO BOLSONARO;1/2/2015 ...
EDUARDO CURY;1/2/2015 ...
EDUARDO DA FONTE;1/2/2015 ...
EFRAIM FILHO;1/2/2015 ...
ELCIONE BARBALHO;1/2/2015 ...
ELI CORRÊA FILHO;1/2/2015 ...
ELIZEU DIONIZIO;10/2/2015 ...
ELIZIANE GAMA;1/2/2015 ...
ELMAR NASCIMENTO;1/2/2015 ...
ENIO VERRI;1/2/2015 ...
ERIKA KOKAY;1/2/2015 ...
ERIVELTON SANTANA;1/2/2015 ...
EROS BIONDINI;1/2/2015 ...
ESPERIDIÃO AMIN;1/2/2015 ...
EVAIR VIEIRA DE MELO;1/2/2015 ...
EVANDRO GUSSI;1/2/2015 ...
EVANDRO ROMAN;1/2/2015 ...
EXPEDITO NETTO;1/2/2015 ...
EZEQUIEL FONSECA;1/2/2015 até 18/1/2016, 18/5/2016 ...
EZEQUIEL TEIXEIRA;1/2/2015 até 15/12/2015, 23/2/2016 ...
FÁBIO FARIA;1/2/2015 ...
FABIO GARCIA;1/2/2015 ...
FÁBIO MITIDIERI;1/2/2015 ...
FÁBIO RAMALHO;1/2/2015 ...
FABIO REIS;1/2/2015 ...
FÁBIO SOUSA;1/2/2015 ...
FAUSTO PINATO;1/2/2015 ...
FELIPE BORNIER;1/2/2015 ...
FELIPE CARRERAS;1/2/2015 até 4/2/2015, 30/1/2017 até 3/2/2017
FELIPE MAIA;1/2/2015 ...
FÉLIX MENDONÇA JÚNIOR;1/2/2015 ...
FERNANDO COELHO FILHO;1/2/2015 até 12/5/2016, 10/10/2016 até 11/10/2016, 25/10/2016 até 26/10/2016, 26/4/2017 até 27/4/2017, 2/8/2017 até 3/8/2017
FERNANDO JORDÃO;1/2/2015 até 31/12/2016
FERNANDO MONTEIRO;4/2/2015 até 15/4/2016, 20/4/2016 ...
FERNANDO TORRES;3/2/2015 até 7/7/2015, 9/7/2015 até 1/2/2016, 3/2/2016 até 1/1/2017, 1/8/2017 ...
FLÁVIA MORAIS;1/2/2015 ...
FLAVIANO MELO;1/2/2015 ...
FLAVINHO;1/2/2015 ...
FRANCISCO CHAPADINHA;1/2/2015 ...
FRANCISCO FLORIANO;1/2/2015 ...
FRANKLIN;1/2/2015 ...
GABRIEL GUIMARÃES;1/2/2015 ...
GENECIAS NORONHA;1/2/2015 ...
GEORGE HILTON;1/2/2015 até 2/2/2015, 1/4/2016 ...
GEOVANIA DE SÁ;1/2/2015 ...
GERALDO RESENDE;1/2/2015 ...
GIACOBO;1/2/2015 ...
GILBERTO NASCIMENTO;1/2/2015 ...
GIOVANI CHERINI;1/2/2015 ...
GIUSEPPE VECCI;1/2/2015 ...
GIVALDO CARIMBÃO;1/2/2015 ...
GIVALDO VIEIRA;1/2/2015 ...
GLAUBER BRAGA;1/2/2015 ...
GONZAGA PATRIOTA;1/2/2015 ...
GORETE PEREIRA;1/2/2015 ...
GOULART;1/2/2015 ...
GUILHERME COELHO;17/5/2016 até 12/7/2016, 25/7/2016 até 29/8/2016, 2/1/2017 até 30/1/2017, 3/2/2017 até 26/4/2017, 4/5/2017 até 2/8/2017, 10/8/2017 ...
GUILHERME MUSSI;1/2/2015 ...
HEITOR SCHUCH;1/2/2015 ...
HELDER SALOMÃO;1/2/2015 ...
HÉLIO LEITE;1/2/2015 ...
HENRIQUE FONTANA;1/2/2015 ...
HERÁCLITO FORTES;1/2/2015 ...
HERCULANO PASSOS;1/2/2015 ...
HERMES PARCIANELLO;1/2/2015 ...
HEULER CRUVINEL;1/2/2015 até 14/7/2016, 12/11/2016 ...
HILDO ROCHA;1/2/2015 ...
HIRAN GONÇALVES;1/2/2015 ...
HISSA ABRAHÃO;1/2/2015 ...
HUGO LEAL;1/2/2015 ...
HUGO MOTTA;1/2/2015 ...
INDIO DA COSTA;1/2/2015 até 1/1/2017
IRACEMA PORTELLA;1/2/2015 ...
IRAJÁ ABREU;1/2/2015 ...
IRMÃO LAZARO;1/2/2015 até 18/4/2016, 18/10/2016 ...
IVAN VALENTE;1/2/2015 ...
IZALCI LUCAS;1/2/2015 ...
IZAQUE SILVA;5/1/2017 ...
JAIME MARTINS;1/2/2015 ...
JAIR BOLSONARO;1/2/2015 ...
JANDIRA FEGHALI;1/2/2015 ...
JANETE CAPIBERIBE;1/2/2015 ...
JARBAS VASCONCELOS;1/2/2015 ...
JEAN WYLLYS;1/2/2015 ...
JEFFERSON CAMPOS;1/2/2015 ...
JERÔNIMO GOERGEN;1/2/2015 ...
JÉSSICA SALES;1/2/2015 ...
JHC;1/2/2015 ...
JHONATAN DE JESUS;1/2/2015 ...
JÔ MORAES;1/2/2015 ...
JOÃO ARRUDA;1/2/2015 ...
JOÃO CAMPOS;1/2/2015 ...
JOÃO CARLOS BACELAR;1/2/2015 ...
JOÃO DANIEL;1/2/2015 ...
JOÃO DERLY;1/2/2015 ...
JOÃO FERNANDO COUTINHO;1/2/2015 ...
JOÃO GUALBERTO;1/2/2015 ...
JOÃO MARCELO SOUZA;1/2/2015 ...
JOÃO PAULO KLEINÜBING;1/2/2015 até 5/2/2015, 25/2/2015 até 2/3/2015, 5/4/2016 até 9/5/2016, 4/1/2017 ...
JOÃO PAULO PAPA;1/2/2015 ...
JOÃO RODRIGUES;1/2/2015 ...
JOAQUIM PASSARINHO;1/2/2015 ...
JONES MARTINS;17/5/2016 até 21/9/2016, 30/9/2016 até 16/1/2017, 30/1/2017 até 2/8/2017, 3/8/2017 ...
JONY MARCOS;1/2/2015 ...
JORGE BOEIRA;1/2/2015 até 3/7/2015, 4/11/2015 ...
JORGE CÔRTE REAL;1/2/2015 ...
JORGE SOLLA;1/2/2015 ...
JORGE TADEU MUDALEN;1/2/2015 ...
JORGINHO MELLO;1/2/2015 ...
JOSÉ AIRTON CIRILO;1/2/2015 ...
JOSÉ CARLOS ALELUIA;1/2/2015 ...
JOSÉ CARLOS ARAÚJO;1/2/2015 ...
JOSÉ FOGAÇA;12/2/2015 até 23/2/2015, 24/2/2015 ...
JOSÉ GUIMARÃES;1/2/2015 ...
JOSÉ MENTOR;1/2/2015 ...
JOSÉ NUNES;1/2/2015 ...
JOSÉ OTÁVIO GERMANO;1/2/2015 ...
JOSÉ PRIANTE;1/2/2015 ...
JOSÉ REINALDO;1/2/2015 ...
JOSÉ ROCHA;1/2/2015 ...
JOSE STÉDILE;1/2/2015 ...
JOSI NUNES;1/2/2015 ...
JOSUÉ BENGTSON;1/2/2015 ...
JOVAIR ARANTES;1/2/2015 ...
JOZI ARAÚJO;1/2/2015 ...
JÚLIA MARINHO;1/2/2015 ...
JULIÃO AMIN;1/2/2015 até 26/2/2015, 25/11/2016 ...
JÚLIO CESAR;1/2/2015 ...
JÚLIO DELGADO;1/2/2015 ...
JULIO LOPES;1/2/2015 ...
JUNIOR MARRECA;1/2/2015 ...
JUSCELINO FILHO;1/2/2015 ...
JUTAHY JUNIOR;1/2/2015 ...
KAIO MANIÇOBA;1/2/2015 até 13/7/2017
KEIKO OTA;1/2/2015 ...
LAERCIO OLIVEIRA;1/2/2015 ...
LAERTE BESSA;1/2/2015 ...
LAUDIVIO CARVALHO;1/2/2015 ...
LAURA CARNEIRO;27/10/2015 até 14/4/2016, 28/4/2016 até 12/7/2016, 20/7/2016 até 12/9/2016, 14/9/2016 até 29/11/2016, 1/1/2017 ...
LÁZARO BOTELHO;1/2/2015 ...
LEANDRE;1/2/2015 ...
LELO COIMBRA;1/2/2015 ...
LEO DE BRITO;1/2/2015 ...
LEONARDO MONTEIRO;1/2/2015 ...
LEONARDO QUINTÃO;1/2/2015 ...
LEÔNIDAS CRISTINO;1/2/2015 ...
LEOPOLDO MEYER;1/2/2015 ...
LINCOLN PORTELA;1/2/2015 ...
LINDOMAR GARÇON;1/2/2015 ...
LOBBE NETO;3/2/2015 até 7/7/2015, 14/7/2015 até 19/10/2015, 21/10/2015 até 14/4/2016, 19/4/2016 até 19/10/2016, 21/10/2016 até 1/1/2017
LOURIVAL GOMES;2/1/2017 até 7/3/2017
LUANA COSTA;2/1/2017 ...
LUCAS VERGILIO;1/2/2015 ...
LUCIANA SANTOS;1/2/2015 ...
LUCIANO DUCCI;1/2/2015 ...
LUCIO MOSQUINI;1/2/2015 ...
LÚCIO VALE;1/2/2015 ...
LUCIO VIEIRA LIMA;1/2/2015 ...
LUIS CARLOS HEINZE;1/2/2015 ...
LUIS TIBÉ;1/2/2015 ...
LUIZ CARLOS BUSATO;1/2/2015 até 1/1/2017
LUIZ CARLOS HAULY;1/2/2015 ...
LUIZ CARLOS RAMOS;1/2/2015 até 1/1/2017, 7/3/2017 ...
LUIZ CLÁUDIO;1/2/2015 ...
LUIZ COUTO;1/2/2015 ...
LUIZ FERNANDO FARIA;1/2/2015 ...
LUIZ LAURO FILHO;1/2/2015 ...
LUIZ NISHIMORI;1/2/2015 ...
LUIZ SÉRGIO;1/2/2015 ...
LUIZA ERUNDINA;1/2/2015 ...
LUIZIANNE LINS;1/2/2015 ...
LUZIA FERREIRA;26/4/2017 ...
MACEDO;1/2/2015 ...
MAGDA MOFATTO;1/2/2015 ...
MAIA FILHO;12/5/2015 até 6/7/2015, 8/7/2015 até 13/4/2016, 20/4/2016 até 18/10/2016, 24/10/2016 ...
MAJOR OLIMPIO;1/2/2015 ...
MANDETTA;1/2/2015 ...
MARA GABRILLI;1/2/2015 ...
MARCELO AGUIAR;3/2/2015 até 24/2/2015, 3/3/2015 até 7/7/2015, 14/7/2015 até 19/10/2015, 21/10/2015 até 14/4/2016, 19/4/2016 até 19/10/2016, 21/10/2016 ...
MARCELO ÁLVARO ANTÔNIO;1/2/2015 ...
MARCELO ARO;1/2/2015 ...
MARCELO CASTRO;1/2/2015 até 5/10/2015, 17/2/2016 até 18/2/2016, 14/4/2016 até 19/4/2016, 28/4/2016 ...
MARCELO DELAROLI;28/4/2016 ...
MARCELO MATOS;1/2/2015 ...
MARCELO SQUASSONI;1/2/2015 ...
MARCIO ALVINO;1/2/2015 ...
MÁRCIO BIOLCHI;1/2/2015 até 12/2/2015, 23/2/2015 até 24/2/2015, 30/12/2015 até 12/1/2016, 25/1/2016 até 1/2/2016, 21/9/2016 até 30/9/2016, 16/1/2017 até 30/1/2017
MÁRCIO MARINHO;1/2/2015 ...
MARCO ANTÔNIO CABRAL;1/2/2015 até 12/2/2015, 24/2/2015 até 2/3/2015, 19/10/2015 até 21/10/2015, 9/12/2015 até 5/1/2016, 16/2/2016 até 19/2/2016, 14/4/2016 até 19/4/2016, 13/7/2016 até 18/7/2016, 17/10/2016 até 21/10/2016, 18/1/2017 ...
MARCO MAIA;1/2/2015 ...
MARCO TEBALDI;1/2/2015 ...
MARCON;1/2/2015 ...
MARCOS ABRÃO;1/2/2015 ...
MARCOS MEDRADO;27/6/2017 até 2/8/2017
MARCOS MONTES;1/2/2015 ...
MARCOS REATEGUI;1/2/2015 ...
MARCOS ROGÉRIO;1/2/2015 ...
MARCOS SOARES;1/2/2015 ...
MARCUS PESTANA;1/2/2015 ...
MARCUS VICENTE;1/2/2015 ...
MARGARIDA SALOMÃO;1/2/2015 ...
MARIA DO ROSÁRIO;1/2/2015 ...
MARIA HELENA;1/2/2015 ...
MARIANA CARVALHO;1/2/2015 ...
MARINALDO ROSENDO;1/2/2015 ...
MARINHA RAUPP;1/2/2015 ...
MÁRIO HERINGER;1/2/2015 até 11/4/2017
MÁRIO NEGROMONTE JR.;1/2/2015 ...
MAURO LOPES;1/2/2015 até 17/3/2016, 14/4/2016 ...
MAURO MARIANI;1/2/2015 ...
MAURO PEREIRA;12/2/2015 até 23/2/2015, 24/2/2015 até 30/12/2015, 12/1/2016 até 25/1/2016, 1/2/2016 ...
MENDONÇA FILHO;1/2/2015 até 12/5/2016, 26/4/2017 até 27/4/2017, 2/8/2017 até 3/8/2017
MIGUEL HADDAD;1/2/2015 ...
MIGUEL LOMBARDI;1/2/2015 ...
MILTON MONTI;1/2/2015 ...
MIRO TEIXEIRA;1/2/2015 ...
MISAEL VARELLA;1/2/2015 ...
MISSIONÁRIO JOSÉ OLIMPIO;1/2/2015 ...
MOEMA GRAMACHO;1/2/2015 até 1/1/2017
MOISÉS DINIZ;16/8/2016 ...
MOSES RODRIGUES;1/2/2015 ...
NELSON MARCHEZAN JUNIOR;1/2/2015 até 1/1/2017
NELSON MARQUEZELLI;1/2/2015 ...
NELSON MEURER;1/2/2015 ...
NELSON NAHIM;15/12/2015 até 16/12/2015, 4/1/2017 até 18/1/2017
NELSON PADOVANI;16/3/2016 até 1/11/2016, 1/1/2017 ...
NELSON PELLEGRINO;1/2/2015 até 4/2/2015, 7/7/2015 até 9/7/2015, 1/2/2016 até 3/2/2016, 25/7/2016 ...
NEWTON CARDOSO JR;1/2/2015 ...
NILSON LEITÃO;1/2/2015 ...
NILSON PINTO;1/2/2015 ...
NILTO TATTO;1/2/2015 ...
NILTON CAPIXABA;1/2/2015 ...
NIVALDO ALBUQUERQUE;17/5/2016 até 2/8/2017, 3/8/2017 ...
NORMA AYUB;3/8/2017 ...
ODORICO MONTEIRO;1/2/2015 ...
ONYX LORENZONI;1/2/2015 ...
ORLANDO SILVA;1/2/2015 ...
OSMAR BERTOLDI;4/2/2015 até 21/5/2015, 1/11/2016 ...
OSMAR SERRAGLIO;1/2/2015 até 7/3/2017, 1/6/2017 ...
OTAVIO LEITE;1/2/2015 ...
PADRE JOÃO;1/2/2015 ...
PAES LANDIM;1/2/2015 ...
PASTOR EURICO;1/2/2015 ...
PASTOR LUCIANO BRAGA;7/2/2017 ...
PATRUS ANANIAS;1/2/2015 até 2/2/2015, 14/4/2016 até 19/4/2016, 12/5/2016 ...
PAUDERNEY AVELINO;1/2/2015 ...
PAULÃO;1/2/2015 ...
PAULO ABI-ACKEL;1/2/2015 ...
PAULO AZI;1/2/2015 ...
PAULO FEIJÓ;1/2/2015 ...
PAULO FOLETTO;1/2/2015 ...
PAULO FREIRE;1/2/2015 ...
PAULO HENRIQUE LUSTOSA;17/11/2015 até 15/4/2016, 22/2/2017 ...
PAULO MAGALHÃES;1/2/2015 ...
PAULO MALUF;1/2/2015 ...
PAULO MARTINS;17/3/2016 até 19/10/2016
PAULO PEREIRA DA SILVA;1/2/2015 ...
PAULO PIMENTA;1/2/2015 ...
PAULO TEIXEIRA;1/2/2015 ...
PEDRO CHAVES;1/2/2015 ...
PEDRO CUNHA LIMA;1/2/2015 até 1/12/2015, 31/3/2016 ...
PEDRO FERNANDES;1/2/2015 ...
PEDRO PAULO;1/2/2015 até 5/2/2015, 9/2/2015 até 12/2/2015, 10/6/2015 até 11/6/2015, 16/12/2015 até 28/12/2015, 15/2/2016 até 19/2/2016, 14/4/2016 até 19/4/2016, 1/6/2016 ...
PEDRO UCZAI;1/2/2015 ...
PEDRO VILELA;1/2/2015 ...
PEPE VARGAS;1/2/2015 até 2/2/2015, 5/10/2015 ...
POLLYANA GAMA;23/11/2016 ...
POMPEO DE MATTOS;1/2/2015 ...
PR. MARCO FELICIANO;1/2/2015 ...
PROFESSOR VICTÓRIO GALLI;1/2/2015 até 23/8/2016, 22/12/2016 ...
PROFESSORA DORINHA SEABRA REZENDE;1/2/2015 ...
PROFESSORA MARCIVANIA;1/2/2015 ...
RAFAEL MOTTA;1/2/2015 ...
RAIMUNDO GOMES DE MATOS;1/2/2015 ...
RAQUEL MUNIZ;1/2/2015 ...
REGINALDO LOPES;1/2/2015 ...
REINHOLD STEPHANES;15/3/2016 até 16/3/2016, 19/10/2016 ...
REMÍDIO MONAI;1/2/2015 ...
RENATA ABREU;1/2/2015 ...
RENATO ANDRADE;1/2/2015 ...
RENATO MOLLING;1/2/2015 ...
RENZO BRAZ;1/2/2015 ...
RICARDO BENTINHO;4/10/2016 até 1/2/2017
RICARDO IZAR;1/2/2015 ...
RICARDO TEOBALDO;1/2/2015 ...
RICARDO TRIPOLI;1/2/2015 ...
ROBERTO ALVES;1/2/2015 ...
ROBERTO BALESTRA;1/2/2015 ...
ROBERTO BRITTO;1/2/2015 ...
ROBERTO DE LUCENA;1/2/2015 até 5/2/2015, 30/9/2015 até 8/10/2015, 19/10/2015 até 21/10/2015, 5/4/2016 ...
ROBERTO FREIRE;20/3/2015 até 7/7/2015, 14/7/2015 até 19/10/2015, 22/10/2015 até 4/4/2016, 7/4/2016 até 14/4/2016, 19/4/2016 até 19/10/2016, 21/10/2016 até 23/11/2016, 23/5/2017 ...
ROBERTO GÓES;1/2/2015 ...
ROBERTO SALES;1/2/2015 ...
ROBINSON ALMEIDA;25/1/2017 até 1/2/2017, 3/2/2017 até 1/8/2017
ROCHA;1/2/2015 ...
ROCHA LOURES;8/3/2017 até 18/5/2017
RODRIGO DE CASTRO;1/2/2015 ...
RODRIGO MAIA;1/2/2015 ...
RODRIGO MARTINS;1/2/2015 ...
RODRIGO PACHECO;1/2/2015 ...
ROGÉRIO MARINHO;1/2/2015 ...
ROGÉRIO PENINHA MENDONÇA;1/2/2015 ...
ROGÉRIO ROSSO;1/2/2015 ...
ROGÉRIO SILVA;12/7/2017 ...
RÔMULO GOUVEIA;1/2/2015 ...
RONALDO BENEDET;1/2/2015 ...
RONALDO CARLETTO;1/2/2015 ...
RONALDO FONSECA;1/2/2015 ...
RONALDO LESSA;1/2/2015 ...
RONALDO MARTINS;1/2/2015 ...
RÔNEY NEMER;1/2/2015 ...
ROSANGELA GOMES;1/2/2015 ...
ROSINHA DA ADEFAL;17/10/2016 até 2/8/2017, 9/8/2017 ...
RUBENS BUENO;1/2/2015 ...
RUBENS OTONI;1/2/2015 ...
RUBENS PEREIRA JÚNIOR;1/2/2015 ...
SABINO CASTELO BRANCO;1/2/2015 ...
SÁGUAS MORAES;1/2/2015 ...
SANDRO ALEX;1/2/2015 ...
SARAIVA FELIPE;1/2/2015 ...
SÉRGIO BRITO;1/2/2015 ...
SÉRGIO MORAES;1/2/2015 ...
SÉRGIO REIS;1/2/2015 até 3/10/2016, 1/2/2017 ...
SERGIO SOUZA;1/2/2015 ...
SERGIO VIDIGAL;1/2/2015 ...
SERGIO ZVEITER;1/2/2015 até 9/2/2015, 13/2/2015 até 15/10/2015, 14/4/2016 até 19/4/2016, 12/7/2016 até 19/7/2016, 12/9/2016 até 4/10/2016, 25/10/2016 ...
SEVERINO NINHO;17/5/2016 até 13/7/2016, 20/7/2016 até 10/10/2016, 19/10/2016 até 20/10/2016, 10/11/2016 até 26/4/2017, 27/4/2017 até 2/8/2017, 4/8/2017 ...
SHÉRIDAN;1/2/2015 ...
SILAS CÂMARA;1/2/2015 ...
SILAS FREIRE;12/3/2015 até 6/7/2015, 7/7/2015 até 15/4/2016, 19/4/2016 até 18/10/2016, 21/10/2016 ...
SILVIO COSTA;1/2/2015 ...
SILVIO TORRES;1/2/2015 ...
SIMÃO SESSIM;1/2/2015 ...
SIMONE MORGADO;1/2/2015 ...
SORAYA SANTOS;1/2/2015 ...
SÓSTENES CAVALCANTE;1/2/2015 ...
STEFANO AGUIAR;1/2/2015 ...
SUBTENENTE GONZAGA;1/2/2015 ...
TADEU ALENCAR;1/2/2015 ...
TAKAYAMA;1/2/2015 ...
